,Assembly,bipar,error,fn,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC,Marker lineage,# genomes,# markers,# marker sets,Completeness,Contamination,Strain heterogeneity,Genome size (bp),# ambiguous bases,# scaffolds,# contigs_x,N50 (scaffolds),N50 (contigs),Mean scaffold length (bp),Mean contig length (bp),Longest scaffold (bp),Longest contig (bp),GC,GC std (scaffolds > 1kbp),Coding density,Translation table,# predicted genes,0,1,2,3,4,5+,Unnamed: 29,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs_y,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp
60,G000733585,10069,1,0.0001,4842,4649,426,kingdom,1.0,0.96,0.0,0.0,0.0,0.96,0.92,True,c__Bacilli (UID259),750,275,151,99.34,2.48,28.57,4603851,30,445,448,20902,20902,10345,10276,80592,80592,37.64,2.65,85.02,11,4761,1,267,7,0,0,0,,445,367,238,157,56,9,4603851,4571113,4195824,3603954,2043946,535160,445,80592,4603851,37.64,20902,11050,68,143,0.65
61,G000300855,10069,2,0.0002,4864,4815,55,genus,0.99,0.98,0.07,0.02,0.05,0.99,0.98,True,o__Rhizobiales (UID3449),345,431,258,100.0,1.37,20.0,5085061,7,55,55,324785,324785,92455,92455,567938,567938,61.23,2.26,89.26,11,4841,0,426,5,0,0,0,,55,43,29,28,24,19,5085061,5077127,5052847,5046661,4982052,4781025,55,567938,5085061,61.23,324785,185068,6,10,0.14
62,G900094975,10069,0,0.0,4480,4305,18,kingdom,1.0,0.96,0.0,0.0,0.0,0.9,0.86,True,o__Bacillales (UID828),139,508,174,99.43,3.17,0.0,4481988,3714,18,22,1024389,474323,248999,203557,1554029,1077781,44.54,1.29,83.61,11,4465,1,495,12,0,0,0,,18,18,18,18,15,12,4481988,4481988,4481988,4481988,4437641,4323231,18,1554029,4481988,44.54,1024389,484753,2,4,82.87
63,G001278075,10069,8,0.0008,7350,7336,1,kingdom,1.0,1.0,0.0,0.0,0.0,0.99,0.98,True,g__Streptomyces (UID2055),49,577,284,99.93,0.35,0.0,8532592,0,1,1,8532592,8532592,8532592,8532592,8532592,8532592,71.54,0.0,87.59,11,7352,1,575,1,0,0,0,,1,1,1,1,1,1,8532592,8532592,8532592,8532592,8532592,8532592,1,8532592,8532592,71.54,8532592,8532592,1,1,0.0
64,G000012725,10069,0,0.0,3191,3128,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,f__Bradyrhizobiaceae (UID3695),47,693,296,99.8,0.0,0.0,3402093,0,1,1,3402093,3402093,3402093,3402093,3402093,3402093,62.05,0.0,84.5,11,3262,2,691,0,0,0,0,,1,1,1,1,1,1,3402093,3402093,3402093,3402093,3402093,3402093,1,3402093,3402093,62.05,3402093,3402093,1,1,0.0
65,G900101965,10069,3,0.0003,3721,3683,50,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,o__Rhodospirillales (UID3754),63,336,201,100.0,0.25,0.0,4211331,987,50,51,267409,267409,84226,82555,753827,753827,67.04,2.99,87.17,11,3705,0,335,1,0,0,0,,50,50,38,32,22,16,4211331,4211331,4196356,4151023,3979267,3756732,50,753827,4211331,67.04,267409,130325,6,11,23.44
66,G000377885,10069,0,0.0,2658,2639,18,kingdom,1.0,0.99,0.0,0.0,0.0,0.96,0.95,True,s__thiocyanoxidans (UID4307),68,1099,253,99.92,0.05,0.0,2803222,2413,18,22,446949,369175,155734,127309,695491,621414,67.62,2.11,92.09,11,2642,2,1095,2,0,0,0,,18,18,15,14,10,9,2803222,2803222,2796341,2787032,2730606,2686374,18,695491,2803222,67.62,446949,303863,3,5,86.08
67,G000317125,10069,2,0.0002,5942,5862,3,order,0.95,0.94,0.47,0.04,0.09,0.97,0.92,False,p__Cyanobacteria (UID2189),82,579,450,99.63,1.44,11.11,6689401,0,3,3,6315792,6315792,2229800,2229800,6315792,6315792,44.47,0.41,84.28,11,5973,3,571,3,2,0,0,,3,3,2,2,2,2,6689401,6689401,6686622,6686622,6686622,6686622,3,6315792,6689401,44.47,6315792,6315792,1,1,0.0
68,G000237805,10069,0,0.0,1531,1524,1,kingdom,1.0,1.0,0.0,0.0,0.0,0.99,0.99,True,k__Bacteria (UID209),5443,105,59,100.0,0.0,0.0,1675934,300,1,4,1675934,501239,1675934,418908,1675934,755586,59.51,0.0,89.74,11,1533,0,105,0,0,0,0,,1,1,1,1,1,1,1675934,1675934,1675934,1675934,1675934,1675934,1,1675934,1675934,59.51,1675934,1675934,1,1,17.9
69,G001769705,10069,0,0.0,3941,3790,55,kingdom,1.0,0.96,0.0,0.0,0.0,0.97,0.93,True,k__Bacteria (UID2569),434,278,186,96.24,1.08,0.0,5036249,115,55,58,143701,138989,91568,86829,362321,362321,37.88,2.19,90.36,11,3902,9,267,2,0,0,0,,55,55,55,51,43,31,5036249,5036249,5036249,5008265,4873067,4428437,55,362321,5036249,37.88,143701,91374,11,22,2.28
70,G900116115,10069,2,0.0002,3102,3084,20,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,f__Flavobacteriaceae (UID2845),53,548,298,98.32,0.45,0.0,3484703,4880,20,25,358088,296920,174235,139192,709263,628976,29.5,1.88,91.39,11,3092,6,538,4,0,0,0,,20,20,15,12,12,11,3484703,3484703,3473504,3453314,3453314,3424119,20,709263,3484703,29.5,358088,309022,4,6,140.04
71,G000210055,10069,1,0.0001,3209,2957,1,kingdom,1.0,0.92,0.0,0.0,0.0,0.8,0.74,True,p__Actinobacteria (UID2112),31,211,124,75.96,0.81,0.0,3608022,278465,1,690,3608022,8540,3608022,4825,3608022,86499,65.48,0.0,75.65,11,3620,41,169,1,0,0,0,,1,1,1,1,1,1,3608022,3608022,3608022,3608022,3608022,3608022,1,3608022,3608022,65.48,3608022,3608022,1,1,7717.94
72,G000147675,10069,0,0.0,1869,1794,69,kingdom,1.0,0.96,0.0,0.0,0.0,0.94,0.9,True,o__Clostridiales (UID1120),304,250,143,98.6,0.0,0.0,1988044,1,74,74,59765,59765,26865,26865,180585,180585,36.66,4.37,87.94,11,1830,2,248,0,0,0,0,,74,52,45,39,28,15,1988044,1976289,1956937,1911020,1731571,1235105,74,180585,1988044,36.66,59765,42007,11,21,0.05
73,G000990725,10069,0,0.0,1010,1003,21,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.98,True,k__Bacteria (UID203),5449,104,58,73.82,0.0,0.0,988286,0,21,21,59804,59804,47061,47061,173626,173626,36.79,1.24,92.98,11,1040,18,86,0,0,0,0,,21,21,21,18,15,7,988286,988286,988286,968199,897856,605406,21,173626,988286,36.79,59804,42764,6,11,0.0
74,G000379665,10069,0,0.0,3854,3740,15,family,0.94,0.91,0.06,0.03,0.06,0.94,0.86,True,k__Bacteria (UID2569),434,278,186,100.0,0.0,0.0,4770838,131,16,17,881458,705706,298177,280629,1913045,1207274,44.84,4.81,91.57,11,3872,0,278,0,0,0,0,,16,16,12,11,11,11,4770838,4770838,4763764,4756431,4756431,4756431,16,1913045,4770838,44.84,881458,246691,2,5,2.75
75,G001280505,10069,0,0.0,3568,3543,68,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,s__algicola (UID2846),47,571,303,99.67,4.95,95.12,4149242,0,80,80,234871,234871,51865,51865,418880,418880,38.65,6.67,91.52,11,3622,1,529,41,0,0,0,,80,53,32,25,23,20,4149242,4138865,4090682,4032480,3997534,3890984,80,418880,4149242,38.65,234871,132404,6,12,0.0
76,G001606005,10069,0,0.0,3389,3338,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.9,0.88,True,o__Actinomycetales (UID1572),580,286,172,100.0,0.0,0.0,3862244,0,1,1,3862244,3862244,3862244,3862244,3862244,3862244,64.16,0.0,89.93,11,3391,0,286,0,0,0,0,,1,1,1,1,1,1,3862244,3862244,3862244,3862244,3862244,3862244,1,3862244,3862244,64.16,3862244,3862244,1,1,0.0
77,G001804315,10069,3,0.0003,2031,1946,107,kingdom,1.0,0.96,0.0,0.0,0.0,0.96,0.92,True,k__Bacteria (UID2565),2921,152,93,91.33,0.0,0.0,2235349,2136,107,144,27452,22867,20891,15508,84888,69223,49.88,1.54,90.5,11,2099,9,143,0,0,0,0,,107,107,106,76,29,7,2235349,2235349,2230351,2010742,1247598,493304,107,84888,2235349,49.88,27452,15600,25,50,95.56
78,G000177235,10069,4,0.0004,4339,4245,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.97,True,c__Bacilli (UID257),764,274,151,99.01,1.6,0.0,4681672,0,1,1,4681672,4681672,4681672,4681672,4681672,4681672,36.52,0.0,80.82,11,4327,2,267,5,0,0,0,,1,1,1,1,1,1,4681672,4681672,4681672,4681672,4681672,4681672,1,4681672,4681672,36.52,4681672,4681672,1,1,0.0
79,G000832305,10069,1,0.0001,7545,7414,2,genus,0.97,0.96,0.03,0.04,0.08,0.99,0.94,True,f__Burkholderiaceae (UID4003),91,596,218,99.94,0.47,0.0,8421483,0,2,2,4522716,4522716,4210741,4210741,4522716,4522716,65.03,0.28,86.5,11,7593,1,591,4,0,0,0,,2,2,2,2,2,2,8421483,8421483,8421483,8421483,8421483,8421483,2,4522716,8421483,65.03,4522716,3898767,1,2,0.0
80,G000591415,10069,2,0.0002,3720,3683,137,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,c__Gammaproteobacteria (UID4444),263,507,232,97.38,0.0,0.0,4049952,0,138,138,52455,52455,29347,29347,185990,185990,57.52,4.94,86.06,11,3762,8,499,0,0,0,0,,138,138,108,93,50,27,4049952,4049952,3981451,3876759,3139924,2276929,138,185990,4049952,57.52,52455,28810,23,47,0.0
81,G001499755,10069,0,0.0,4224,4113,58,kingdom,1.0,0.97,0.0,0.0,0.0,0.87,0.84,True,f__Xanthomonadaceae (UID4214),55,659,290,99.91,0.0,0.0,4638575,0,59,59,207738,207738,78619,78619,458933,458933,66.32,2.21,89.19,11,4214,1,658,0,0,0,0,,59,56,51,43,35,23,4638575,4636574,4620086,4562404,4412586,3927796,59,458933,4638575,66.32,207738,84108,7,17,0.0
82,G001469535,10069,1,0.0001,954,941,6,kingdom,1.0,0.99,0.0,0.0,0.0,0.97,0.96,True,k__Bacteria (UID2993),77,301,197,98.48,0.0,0.0,1113816,6,6,6,623872,623870,185636,185635,623872,623870,41.03,4.2,92.41,11,954,3,298,0,0,0,0,,6,6,6,4,3,3,1113816,1113816,1113816,1096513,1077405,1077405,6,623872,1113816,41.03,623872,307892,1,2,0.54
83,G001794055,10069,0,0.0,814,791,18,kingdom,1.0,0.97,0.0,0.0,0.0,0.99,0.96,True,k__Bacteria (UID1452),924,161,108,61.39,1.85,0.0,799807,140,18,22,85658,85658,44433,36348,176986,176986,40.42,1.43,88.8,11,838,47,112,2,0,0,0,,18,18,18,12,9,5,799807,799807,799807,759001,701075,537645,18,176986,799807,40.42,85658,46933,4,7,17.5
84,G001443675,10069,0,0.0,3467,3388,241,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.95,True,c__Gammaproteobacteria (UID4274),112,577,287,93.61,1.05,0.0,3510797,93370,249,693,25176,7630,14099,4931,99212,40802,58.87,4.04,82.43,11,3579,44,529,3,1,0,0,,249,227,163,120,45,6,3510797,3495254,3315654,2998788,1767745,416691,249,99212,3510797,58.87,25176,14398,45,90,2659.51
85,G000173655,10069,0,0.0,2175,2114,48,kingdom,1.0,0.97,0.0,0.0,0.0,0.94,0.91,True,o__Actinomycetales (UID1590),562,282,168,99.85,0.0,0.0,2513912,1,48,48,135695,135695,52373,52373,436012,436011,58.58,3.99,89.24,11,2170,1,281,0,0,0,0,,48,45,33,28,20,14,2513912,2512121,2479905,2443708,2310049,2065248,48,436012,2513912,58.58,135695,99072,6,11,0.04
86,G001786355,10069,5,0.0005,754,750,34,kingdom,1.0,0.99,0.0,0.0,0.0,0.98,0.98,True,k__Bacteria (UID2495),2993,143,89,70.62,2.25,0.0,719911,3034,34,91,31727,16195,21173,7877,95049,45717,36.11,1.66,88.94,11,761,31,111,0,1,0,0,,34,34,34,25,9,2,719911,719911,719911,654622,399269,160205,34,95049,719911,36.11,31727,16195,8,16,421.44
87,G000599865,10069,2,0.0002,3791,3708,92,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True,k__Bacteria (UID2142),169,316,236,99.58,0.0,0.0,3807137,0,94,94,89525,89525,40501,40501,232991,232991,68.96,2.97,88.55,11,3771,1,315,0,0,0,0,,94,78,62,58,44,25,3807137,3798633,3760109,3726947,3496804,2807803,94,232991,3807137,68.96,89525,49148,13,26,0.0
88,G900112605,10069,9,0.0009,2682,2658,23,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,c__Gammaproteobacteria (UID4267),119,544,284,98.68,0.7,0.0,2687697,115,23,24,248128,215901,116856,111982,814936,790360,69.12,5.97,92.04,11,2663,6,536,2,0,0,0,,23,23,18,16,13,10,2687697,2687697,2678531,2666252,2609648,2479393,23,814936,2687697,69.12,248128,158184,3,7,4.28
89,G000319245,10069,0,0.0,739,736,1,kingdom,1.0,1.0,0.0,0.0,0.0,0.99,0.98,True,c__Betaproteobacteria (UID3959),235,420,211,83.73,0.0,0.0,820037,0,1,1,820037,820037,820037,820037,820037,820037,32.55,0.0,89.55,11,745,58,362,0,0,0,0,,1,1,1,1,1,1,820037,820037,820037,820037,820037,820037,1,820037,820037,32.55,820037,820037,1,1,0.0
90,G001548375,10069,0,0.0,6025,5909,3,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.94,True,p__Cyanobacteria (UID2189),82,579,450,99.3,0.11,0.0,6987571,0,3,3,6463965,6463965,2329190,2329190,6463965,6463965,40.58,0.75,82.35,11,5963,4,574,1,0,0,0,,3,3,3,3,3,3,6987571,6987571,6987571,6987571,6987571,6987571,3,6463965,6987571,40.58,6463965,6463965,1,1,0.0
91,G900128755,10069,0,0.0,2785,2616,341,genus,0.84,0.79,0.68,0.1,0.24,0.96,0.76,False,f__Enterobacteriaceae (UID5066),55,546,224,98.59,0.19,0.0,2794581,0,381,381,37438,37438,7334,7334,128487,128487,43.43,4.76,84.11,11,2886,5,539,2,0,0,0,,381,184,87,64,38,13,2794581,2713941,2489849,2323232,1924635,1035230,381,128487,2794581,43.43,37438,18108,22,46,0.0
92,G001771345,10069,3,0.0003,1501,1474,34,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,k__Bacteria (UID1453),901,171,117,81.2,2.99,0.0,1512343,276,34,42,73839,63477,44480,36001,166455,166455,54.0,2.09,94.52,11,1528,24,144,2,1,0,0,,34,34,34,27,20,11,1512343,1512343,1512343,1466974,1342934,984651,34,166455,1512343,54.0,73839,44790,8,15,18.25
93,G001192655,10069,2,0.0002,1816,1776,142,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,c__Alphaproteobacteria (UID3305),564,348,229,76.84,2.04,28.57,1686852,0,142,142,20160,20160,11879,11879,82203,82203,42.15,3.07,87.99,11,1830,64,277,7,0,0,0,,142,138,92,58,14,4,1686852,1684275,1549479,1309140,600858,252190,142,82203,1686852,42.15,20160,10899,25,54,0.0
94,G002011535,10069,3,0.0003,2190,1927,526,family,0.53,0.46,0.27,0.73,4.32,0.59,0.27,True,k__Bacteria (UID1452),924,163,110,36.58,1.82,0.0,2039159,205,527,527,3822,3822,3869,3868,12003,12002,60.96,2.81,87.9,11,2160,108,53,2,0,0,0,,527,527,84,1,0,0,2039159,2039159,544260,12003,0,0,527,12003,2039159,60.96,3822,3077,194,343,10.05
95,G000093025,10069,0,0.0,2821,2796,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,c__Betaproteobacteria (UID3888),323,387,234,99.57,1.28,0.0,3059871,0,1,1,3059871,3059871,3059871,3059871,3059871,3059871,42.64,0.0,90.22,11,2800,1,383,3,0,0,0,,1,1,1,1,1,1,3059871,3059871,3059871,3059871,3059871,3059871,1,3059871,3059871,42.64,3059871,3059871,1,1,0.0
96,G001789115,10069,1,0.0001,1009,986,78,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,k__Bacteria (UID1452),924,151,101,65.53,2.81,0.0,1057030,4772,78,194,17453,8655,13551,5424,46221,28898,58.3,1.58,88.18,11,1060,40,106,5,0,0,0,,78,78,77,43,7,0,1057030,1057030,1052366,819325,238540,0,78,46221,1057030,58.3,17453,10552,21,41,451.45
97,G001772335,10069,3,0.0003,1547,1523,33,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.94,True,k__Bacteria (UID1453),901,171,117,83.76,2.99,0.0,1557264,1025,33,64,65601,45511,47189,24316,192338,116238,54.03,1.69,94.08,11,1574,21,147,2,1,0,0,,33,33,33,28,21,14,1557264,1557264,1557264,1520677,1416264,1163794,33,192338,1557264,54.03,65601,45957,8,15,65.82
98,G000191145,10069,0,0.0,3620,3589,1,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,f__Moraxellaceae (UID4680),86,689,365,99.77,0.0,0.0,3862530,0,1,1,3862530,3862530,3862530,3862530,3862530,3862530,38.82,0.0,87.98,11,3581,4,685,0,0,0,0,,1,1,1,1,1,1,3862530,3862530,3862530,3862530,3862530,3862530,1,3862530,3862530,38.82,3862530,3862530,1,1,0.0
99,G000405625,10069,1,0.0001,1289,1268,105,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.97,True,k__Bacteria (UID3187),2258,188,117,51.04,2.56,50.0,1387242,26,105,105,21905,21905,13211,13211,118448,118447,39.07,2.48,89.52,11,1308,99,85,4,0,0,0,,105,105,72,43,15,3,1387242,1387242,1279094,1072901,661158,248457,105,118448,1387242,39.07,21905,10961,17,40,1.87
100,G000970125,10069,0,0.0,4170,3914,1,kingdom,0.99,0.93,0.0,0.0,0.0,0.94,0.87,True,p__Euryarchaeota (UID49),95,228,153,99.84,0.65,0.0,4941115,0,1,1,4941115,4941115,4941115,4941115,4941115,4941115,43.06,0.0,76.4,11,4178,1,226,1,0,0,0,,1,1,1,1,1,1,4941115,4941115,4941115,4941115,4941115,4941115,1,4941115,4941115,43.06,4941115,4941115,1,1,0.02
101,G000220585,10069,9,0.0009,3256,3241,61,kingdom,1.0,1.0,0.0,0.0,0.0,0.99,0.98,True,s__algicola (UID2846),47,571,303,98.68,0.66,0.0,3704661,2,61,61,131549,131549,60732,60732,387696,387695,37.06,2.67,93.08,11,3261,4,564,3,0,0,0,,61,51,45,37,31,26,3704661,3699348,3681397,3620937,3520110,3365497,61,387696,3704661,37.06,131549,93069,10,18,0.05
102,G000768065,10069,0,0.0,4383,4277,16,kingdom,1.0,0.98,0.0,0.0,0.0,0.93,0.91,True,o__Burkholderiales (UID4000),193,427,214,99.84,0.62,50.0,5020969,0,17,17,4869099,4869099,295351,295351,4869099,4869099,63.76,7.29,90.86,11,4339,1,424,2,0,0,0,,17,17,7,2,2,2,5020969,5020969,4988039,4950736,4950736,4950736,17,4869099,5020969,63.76,4869099,4869099,1,1,0.0
103,G001924935,10069,0,0.0,3554,3500,16,kingdom,1.0,0.98,0.0,0.0,0.0,0.92,0.91,True,c__Gammaproteobacteria (UID4787),26,752,296,99.83,0.51,33.33,3974626,0,16,16,797546,797546,248414,248414,881720,881720,39.96,2.41,89.03,11,3551,1,748,3,0,0,0,,16,16,15,15,14,11,3974626,3974626,3971477,3971477,3957890,3866601,16,881720,3974626,39.96,797546,372077,3,5,0.0
104,G001025035,10069,6,0.0006,2943,2927,10,kingdom,1.0,0.99,0.0,0.0,0.0,0.99,0.98,True,k__Bacteria (UID1453),901,171,117,97.44,1.28,0.0,3316799,0,10,10,344959,344959,331679,331679,836048,836048,57.26,0.41,93.01,11,2985,3,166,2,0,0,0,,10,10,10,10,10,10,3316799,3316799,3316799,3316799,3316799,3316799,10,836048,3316799,57.26,344959,247305,3,6,0.0
105,G001824485,10069,2,0.0002,2372,2268,231,phylum,0.87,0.83,0.4,0.1,0.23,0.86,0.72,True,k__Bacteria (UID2565),2921,149,91,87.36,3.3,0.0,2418909,6168,231,312,11649,10710,10471,7733,49004,49004,38.71,2.24,85.8,11,2409,14,132,3,0,0,0,,231,231,231,86,7,0,2418909,2418909,2418909,1440478,257109,0,231,49004,2418909,38.71,11649,7416,65,131,254.99
106,G001570425,10069,0,0.0,7088,7054,69,genus,1.0,0.99,0.02,0.07,0.16,0.99,0.98,True,o__Actinomycetales (UID1815),120,571,265,100.0,2.77,28.57,7387494,65,70,71,262033,253027,105535,104048,707098,707098,66.6,2.58,92.53,11,7135,0,562,8,0,1,0,,70,62,47,47,43,34,7387494,7382280,7352892,7352892,7292015,6942521,70,707098,7387494,66.6,262033,148392,11,20,0.88
107,G000435575,10069,5,0.0005,2391,2337,108,family,0.99,0.97,0.04,0.03,0.07,0.97,0.94,True,o__Clostridiales (UID1212),172,263,149,95.97,0.0,0.0,2681921,10619,108,278,48615,17630,24832,9609,121763,87181,38.74,2.22,84.0,11,2321,9,254,0,0,0,0,,108,101,87,68,35,15,2681921,2676922,2632556,2496484,1923920,1150953,108,121763,2681921,38.74,48615,23280,19,39,395.95
108,G000436435,10069,1,0.0001,4296,4192,256,kingdom,1.0,0.98,0.0,0.0,0.0,0.95,0.93,True,g__Bacteroides (UID2691),33,839,309,94.39,0.35,50.0,5342916,5081,257,367,57682,41493,20789,14544,190976,187921,42.01,3.58,90.57,11,4254,76,761,2,0,0,0,,257,226,144,109,60,32,5342916,5319833,5133337,4880595,4054369,3061834,257,190976,5342916,42.01,57682,25679,25,59,95.1
109,G001775565,10069,2,0.0002,937,888,61,kingdom,1.0,0.95,0.0,0.0,0.0,0.93,0.88,True,k__Bacteria (UID1452),924,151,101,54.22,0.99,0.0,848883,152,61,67,17252,17252,13916,12667,49793,49793,47.52,1.86,93.05,11,982,54,96,1,0,0,0,,61,61,61,31,6,0,848883,848883,848883,635487,226661,0,61,49793,848883,47.52,17252,9569,16,32,17.91
110,G000981645,10069,1,0.0001,2431,2406,44,kingdom,1.0,0.99,0.0,0.0,0.0,0.97,0.96,True,k__Bacteria (UID2569),434,278,186,91.47,0.0,0.0,2891733,25284,44,255,85204,26269,65721,11240,332675,65831,38.19,0.97,86.07,11,2398,24,254,0,0,0,0,,44,44,44,44,34,21,2891733,2891733,2891733,2891733,2702042,2186452,44,332675,2891733,38.19,85204,50233,10,21,874.35
111,G001819635,10069,0,0.0,775,750,62,phylum,0.88,0.86,0.21,0.03,0.06,0.94,0.8,True,k__Bacteria (UID1452),924,161,108,48.58,0.0,0.0,740603,3684,62,152,13753,7417,11945,4848,31176,17473,43.1,1.6,84.55,11,808,67,94,0,0,0,0,,62,62,62,32,4,0,740603,740603,740603,534625,112208,0,62,31176,740603,43.1,13753,8847,19,35,497.43
112,G000430585,10069,0,0.0,3239,3142,57,kingdom,1.0,0.97,0.0,0.0,0.0,0.99,0.96,True,p__Firmicutes (UID242),830,241,127,98.56,1.05,0.0,3310509,2035,57,59,136878,136878,58079,56075,293107,293107,57.16,3.43,87.09,11,3226,3,235,3,0,0,0,,57,57,45,39,28,21,3310509,3310509,3281369,3234631,3057933,2825934,57,293107,3310509,57.16,136878,91284,10,17,61.47
113,G001792495,10069,0,0.0,1138,1109,61,kingdom,1.0,0.97,0.0,0.0,0.0,0.97,0.94,True,k__Bacteria (UID1453),901,171,117,46.3,0.0,0.0,985619,3574,61,157,22444,10782,16157,6255,64696,42652,37.32,1.69,92.29,11,1174,70,101,0,0,0,0,,61,61,60,35,11,2,985619,985619,980760,807833,423675,116864,61,64696,985619,37.32,22444,13401,14,29,362.61
114,G900112935,10069,1,0.0001,3045,2981,46,kingdom,1.0,0.98,0.0,0.0,0.0,0.99,0.97,True,o__Lactobacillales (UID355),490,334,183,98.91,3.21,0.0,3197326,5633,46,51,130773,130631,69507,62582,488007,413193,46.8,4.69,86.0,11,3004,2,324,5,3,0,0,,46,46,37,33,26,20,3197326,3197326,3171820,3143958,3040885,2820940,46,488007,3197326,46.8,130773,79273,7,14,176.18
115,G000424205,10069,2,0.0002,3430,3372,42,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.96,True,o__Clostridiales (UID1375),50,332,124,99.19,0.81,0.0,3542160,3499,42,45,141803,141803,84337,78636,338407,338407,31.11,1.73,88.16,11,3373,1,330,1,0,0,0,,42,42,39,39,32,25,3542160,3542160,3531609,3531609,3418046,3147763,42,338407,3542160,31.11,141803,69896,8,17,98.78
116,G001594145,10069,6,0.0006,3716,3659,50,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,o__Actinomycetales (UID1663),488,309,185,100.0,0.54,0.0,3838211,0,50,50,250112,250112,76764,76764,699031,699031,67.08,2.77,93.1,11,3724,0,308,1,0,0,0,,50,49,40,32,20,17,3838211,3837582,3825363,3770965,3554187,3431847,50,699031,3838211,67.08,250112,131557,5,10,0.0
117,G001437355,10069,0,0.0,1547,1492,7,kingdom,1.0,0.96,0.0,0.0,0.0,0.98,0.95,True,o__Lactobacillales (UID375),177,350,163,99.23,0.0,0.0,1537173,9741,8,34,476919,86165,192146,44924,527535,288110,41.09,0.74,88.25,11,1505,2,348,0,0,0,0,,8,7,7,7,7,6,1537173,1536954,1536954,1536954,1536954,1506564,8,527535,1537173,41.09,476919,200624,2,3,633.7
118,G000406785,10069,0,0.0,1771,1688,241,phylum,0.96,0.92,0.53,0.04,0.08,0.96,0.89,False,k__Bacteria (UID1452),924,163,110,49.36,0.0,0.0,1766700,81,242,242,11728,11728,7300,7300,32647,32647,53.73,6.18,88.7,11,1760,67,96,0,0,0,0,,242,237,120,59,9,0,1766700,1763333,1467480,1008642,245139,0,242,32647,1766700,53.73,11728,6643,48,96,4.58
119,G000969905,10069,0,0.0,3736,3493,2,kingdom,1.0,0.93,0.0,0.0,0.0,0.97,0.9,True,p__Euryarchaeota (UID49),95,228,153,99.84,0.0,0.0,4563885,0,2,2,4505752,4505752,2281942,2281942,4505752,4505752,39.71,3.66,72.86,11,3737,1,227,0,0,0,0,,2,2,2,2,2,2,4563885,4563885,4563885,4563885,4563885,4563885,2,4505752,4563885,39.71,4505752,4505752,1,1,0.0
120,G000017045,10069,0,0.0,3501,3432,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.98,0.96,True,g__Clostridium (UID1380),44,404,145,99.31,0.0,0.0,3760560,0,1,1,3760560,3760560,3760560,3760560,3760560,3760560,28.18,0.0,81.33,11,3397,1,403,0,0,0,0,,1,1,1,1,1,1,3760560,3760560,3760560,3760560,3760560,3760560,1,3760560,3760560,28.18,3760560,3760560,1,1,0.0
121,G001682385,10069,0,0.0,4062,3997,1,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True,f__Rhodocyclaceae (UID3972),30,540,241,99.94,0.41,0.0,4451751,0,1,1,4451751,4451751,4451751,4451751,4451751,4451751,67.83,0.0,91.05,11,4042,1,538,1,0,0,0,,1,1,1,1,1,1,4451751,4451751,4451751,4451751,4451751,4451751,1,4451751,4451751,67.83,4451751,4451751,1,1,0.0
122,G000997505,10069,0,0.0,1052,989,101,phylum,0.83,0.78,0.57,0.31,1.0,0.89,0.69,False,k__Bacteria (UID1452),924,161,108,43.44,5.46,0.0,921819,616,101,116,9714,9453,9126,7941,24062,24062,40.51,1.83,90.27,11,1079,76,77,8,0,0,0,,101,101,101,30,0,0,921819,921819,921819,441562,0,0,101,24062,921819,40.51,9714,6820,32,61,66.82
